256
192
48,76,100,124,120,200,284,416,484,600,692,736,876,1169,1509,2206,2738,2954,2990,2778,2486,2178,2110,2110,1845,1821,1669,1449,1269,1117,1049,1077,1777,3215,3831,4043,4043,4051,4043,0
0,16,76,92,156,160,300,376,500,632,692,776,932,1169,1685,2510,2986,3263,3395,3103,2826,2346,2430,2462,2194,2054,1869,1613,1409,1229,1133,1201,2062,3679,4067,4059,4059,4059,4043,4.26676e-86
32,52,24,116,168,176,276,392,540,624,732,816,985,1317,1917,2694,3339,3671,3615,3503,3139,2654,2702,2610,2370,2230,2086,1877,1593,1369,1277,1353,2170,4051,4051,4075,4059,4035,4067,3.178e-320
24,8,60,68,152,176,300,376,484,576,740,768,940,1217,1753,2478,3055,3391,3431,3179,2838,2514,2470,2470,2114,2054,1945,1637,1341,1193,1025,1109,1853,3347,3931,4051,4051,4059,4043,6.3557e-320
32,16,60,100,160,192,276,364,484,548,644,700,844,1069,1577,2210,2694,2954,3055,2810,2570,2154,2038,2070,1901,1785,1645,1421,1185,1021,993,1053,1701,3079,3455,3899,4059,4059,4059,9.5335e-320
40,32,60,124,152,208,268,368,428,576,716,720,876,1133,1533,2118,2570,2870,2878,2678,2430,2130,2162,2054,1893,1853,1701,1509,1277,1153,1077,1169,1801,3139,3739,4059,4035,4043,4067,1.27113e-319
52,52,24,108,192,184,276,392,524,636,748,808,900,1269,1669,2330,2738,3071,3123,2830,2626,2302,2302,2218,2014,1969,1809,1625,1353,1141,1061,1133,1921,3195,3839,4043,4075,4059,4067,1.5889e-319
44,48,116,132,168,208,284,352,508,568,692,800,900,1109,1545,2218,2746,2970,2970,2722,2478,2202,2170,2110,1877,1809,1701,1469,1277,1129,1029,1085,1725,3191,3587,3887,4043,4067,4043,1.9067e-319
32,40,108,132,200,224,340,444,552,632,736,832,944,1261,1637,2262,2638,2902,2910,2702,2462,2154,2186,2170,1961,1869,1877,1593,1437,1309,1269,1229,1717,2446,2462,2462,3079,3595,2994,2.2245e-319
24,48,68,124,192,268,400,492,592,708,908,932,1109,1269,1485,1793,2054,2262,2262,2186,2154,1929,1985,2026,1993,1861,1737,1693,1517,1433,1253,1249,1593,2126,2094,2118,2722,3355,2822,2.54226e-319
36,52,92,108,152,224,276,432,508,600,716,744,924,1061,1333,1769,1969,2210,2262,2234,2126,1993,1945,2002,1885,1801,1609,1469,1269,1085,1033,1025,1501,2394,2538,2710,3495,4039,3163,2.86005e-319
40,24,52,100,140,144,232,260,424,484,576,600,808,960,1169,1545,1729,1853,1837,1617,1417,1269,1217,1153,1025,976,940,792,684,600,628,540,708,976,1077,1077,1469,1769,1625,3.17783e-319
48,40,76,108,144,124,168,232,284,316,384,368,400,508,564,692,800,876,816,824,832,752,668,724,684,652,652,576,548,568,540,468,508,732,768,884,1261,1585,1369,3.4956e-319
36,40,64,100,160,184,200,232,224,292,332,324,368,424,516,668,708,836,816,824,832,792,792,824,808,808,760,768,732,700,668,708,840,1161,1261,1393,1933,2394,2001,3.8134e-319
52,32,60,168,208,268,468,684,792,940,1009,1077,1117,1233,1449,1577,1821,1953,2054,1993,2094,1953,2130,2202,2118,2046,1985,1901,1853,1761,1793,1629,1861,2362,2394,2414,3211,3855,3239,4.1312e-319
